Bulan;Beras Lokal
2011-1;157.5
2011-2;1117.94
2011-3;953.72
2011-4;731.07
2011-5;1851.33
2011-6;2364.14
2011-7;3312.80
2011-8;3115.46
2011-9;2104.07
2011-10;2400.81
2011-11;1711.11
2011-12;930.08
2012-1;0
2012-2;115.5
2012-3;78
2012-4;2587.17
2012-5;6050.48
2012-6;3550.53
2012-7;5529.76
2012-8;4354.16
2012-9;3764.22
2012-10;4072.71
2012-11;3290.84
2012-12;2606.65
2013-1;195
2013-2;750
2013-3; 1332.00
2013-4; 1008.00
2013-5; 4016.19
2013-6; 6077.87
2013-7; 5779.56
2013-8; 5191.28
2013-9; 6463.80
2013-10; 6714.62
2013-11; 3967.26
2013-12; 2004.44
2014-1;105
2014-2;285
2014-3;416.12
2014-4; 3806.54
2014-5; 9108.29
2014-6; 3926.81
2014-7; 3607.38
2014-8; 3797.63
2014-9; 3237.00
2014-10; 1763.01
2014-11;394.7
2014-12;0
2015-1;0
2015-2;0
2015-3;0
2015-4;588
2015-5;6759
2015-6;6340
2015-7;6453
2015-8;1426
2015-9;41
2015-10;103
2015-11;284
2015-12;110
2016-1;0
2016-2;0
2016-3;0
2016-4;41
2016-5;2118
2016-6;7463
2016-7;5192
2016-8;2574
2016-9;523
2016-10;1331
2016-11;3871
2016-12;901
2017-1;0
2017-2;0
2017-3;8456.00
2017-4;7570.00
2017-5;15209.50
2017-6;17402.50
2017-7;58436.40
2017-8;22327.45
2017-9;16784.70
2017-10;33125.80
2017-11;30913.75
2017-12;14263.35
